month	good_faith	anon_reverted	reverted_edits	reverts
201512	0	1	11554	9851
201512	1	0	2375	1829
201512	1	1	6682	5666
201601	0	0	2348	1895
201601	0	1	15252	12858
201601	1	0	2926	2322
201601	1	1	9833	8403
201602	0	0	2206	1756
201602	0	1	14008	11838
201602	1	0	2118	1694
201602	1	1	8044	6882
201603	0	0	1921	1516
201603	0	1	12727	10811
201603	1	0	1757	1382
201603	1	1	7056	6097
201604	0	0	1056	835
201604	0	1	7699	6530
201604	1	0	1053	847
201604	1	1	4595	4015
201605	0	0	924	735
201605	0	1	7376	6352
201605	1	0	753	571
201605	1	1	2568	2176
201606	0	0	1069	837
201606	0	1	9341	7990
201606	1	0	857	644
201606	1	1	3461	2951
201607	0	0	748	603
201607	0	1	5356	4681
201607	1	0	938	733
201607	1	1	3078	2638
201608	0	0	1123	906
201608	0	1	6844	5989
201608	1	0	1058	818
201608	1	1	3132	2683
201609	0	0	948	750
201609	0	1	6221	5305
201609	1	0	731	585
201609	1	1	2612	2248
201610	0	0	1398	1090
201610	0	1	9046	7637
201610	1	0	1074	868
201610	1	1	3112	2645
